route_code,cyclenumber,unlockedat,unlockedattime,lockedat,lockedattime,startstationname,endstationname,rfidnumber,length,DurationMinutes,CycleType,costs,Membership
1563483615145,2736,2019-07-19,00:00:15,2019-07-19,00:00:53,Postimaja,Postimaja,Mobile App,0.01,0.64,Bike,0.0,3 month free membership
1563483615455,2176,2019-07-19,00:00:15,2019-07-19,00:02:02,Aleksandri,Aleksandri,RFID Card,0.16,1.79,Pedelec,0.0,Free Membership (with bus card)
1563483632941,2408,2019-07-19,00:00:32,2019-07-19,00:15:06,Postimaja,Viie tee rist,Mobile App,2.62,14.55,Pedelec,0.0,3 month free membership
1563483672504,2473,2019-07-19,00:01:12,2019-07-19,00:14:53,Postimaja,Viie tee rist,Mobile App,2.67,13.69,Pedelec,0.0,3 month free membership
1563483686268,2620,2019-07-19,00:01:26,2019-07-19,00:13:04,Uueturu,Aura veekeskus,RFID Card,0.75,11.65,Pedelec,0.0,Free Membership (with bus card)
1563483692688,2631,2019-07-19,00:01:32,2019-07-19,00:07:23,Raatuse,Uueturu,Mobile App,0.86,5.85,Bike,0.0,3 month free membership
1563483694483,2548,2019-07-19,00:01:34,2019-07-19,00:32:52,Eeden,Viie tee rist,Mobile App,4.32,31.3,Bike,0.0,1 WEEK MEMBERSHIP
1563483697880,2573,2019-07-19,00:01:37,2019-07-19,00:31:58,Eeden,Viie tee rist,Mobile App,4.43,30.35,Pedelec,0.0,3 month free membership
1563483711881,2109,2019-07-19,00:01:51,2019-07-19,00:55:06,Uueturu,Annelinna keskus,Mobile App,7.1,53.25,Pedelec,0.0,3 month free membership
1563483720475,2271,2019-07-19,00:02:00,2019-07-19,00:12:31,Ülejõe park,Kaare,RFID Card,2.65,10.52,Pedelec,0.0,1-month Free Membership
1563483739348,2275,2019-07-19,00:02:19,2019-07-19,00:58:55,Papli,Turusild,Mobile App,2.88,56.59,Pedelec,0.0,1 DAY MEMBERSHIP
1563483741063,2312,2019-07-19,00:02:21,2019-07-19,00:44:38,Turusild,Karete,RFID Card,10.67,42.29,Pedelec,0.0,Free Membership (with bus card)
1563483828028,2578,2019-07-19,00:03:48,2019-07-19,00:12:35,Roosi,K. E. von Baeri,Mobile App,0.01,8.79,Bike,0.0,3 month free membership
1563483833761,2665,2019-07-19,00:03:53,2019-07-19,00:04:56,Uueturu,Uueturu,Mobile App,0.02,1.05,Bike,0.0,1 Year Membership
1563483844798,2352,2019-07-19,00:04:04,2019-07-19,00:30:27,TÜ raamatukogu,Aparaaditehas,RFID Card,1.95,26.38,Pedelec,0.0,1 Day Membership
1563483845002,2250,2019-07-19,00:04:05,2019-07-19,00:55:20,Tarmeko,Tarmeko,Mobile App,1.1,51.27,Pedelec,0.0,3 month free membership
1563483850412,2268,2019-07-19,00:04:10,2019-07-19,00:55:35,Tarmeko,Tarmeko,Mobile App,1.11,51.42,Pedelec,0.0,3 month free membership
1563483853865,2294,2019-07-19,00:04:13,2019-07-19,00:25:21,Tarmeko,Ränilinn,RFID Card,4.39,21.13,Pedelec,0.0,Free Membership (with bus card)
1563483863414,2690,2019-07-19,00:04:23,2019-07-19,00:14:27,Orava,Näituse,Mobile App,2.3,10.07,Bike,0.0,3-Month Free Membership
1563483865741,2097,2019-07-19,00:04:25,2019-07-19,00:30:31,TÜ raamatukogu,Aparaaditehas,Mobile App,1.95,26.09,Pedelec,0.0,1 Day Membership
1563483870365,2480,2019-07-19,00:04:30,2019-07-19,00:55:40,Tarmeko,Tarmeko,Mobile App,2.28,51.17,Pedelec,0.0,3 month free membership
1563483893348,2641,2019-07-19,00:04:53,2019-07-19,00:45:06,Roosi,ERM,Mobile App,2.86,40.21,Bike,0.0,1-month Free Membership
1563483898309,2208,2019-07-19,00:04:58,2019-07-19,00:21:16,Sõbra,Kaunase puiestee,RFID Card,4.59,16.3,Pedelec,0.0,3-Month Free Membership
1563483910548,2285,2019-07-19,00:05:10,2019-07-19,00:22:55,Tarmeko,Tamme puiestee,Mobile App,3.58,17.75,Pedelec,0.0,3-Month Free Membership
1563483933915,2493,2019-07-19,00:05:33,2019-07-19,00:21:50,Torni,Viie tee rist,RFID Card,4.35,16.28,Pedelec,0.0,Free Membership (with bus card)
1563483943768,2230,2019-07-19,00:05:43,2019-07-19,00:08:32,Vabadussild,Vabadussild,Mobile App,0.33,2.82,Pedelec,0.0,1-month Free Membership
1563483956184,2176,2019-07-19,00:05:56,2019-07-19,00:40:19,Aleksandri,Vahi,Mobile App,4.31,34.39,Pedelec,0.0,3 month free membership
1563483979043,2665,2019-07-19,00:06:19,2019-07-19,00:12:53,Uueturu,Aura veekeskus,Mobile App,0.79,6.57,Bike,0.0,1 Year Membership
1563483979744,2546,2019-07-19,00:06:19,2019-07-19,00:11:50,Pirogovi plats,Uueturu,RFID Card,0.52,5.51,Bike,0.0,Free Membership (with bus card)
1563483992282,2478,2019-07-19,00:06:32,2019-07-19,00:21:14,Anne saun,Undetermined,Mobile App,2.0,14.71,Pedelec,0.0,1 DAY MEMBERSHIP
1563484003090,2790,2019-07-19,00:06:43,2019-07-19,00:11:47,Pirogovi plats,Uueturu,Mobile App,0.52,5.08,Bike,0.0,Free Membership (with bus card)
1563484008082,2345,2019-07-19,00:06:48,2019-07-19,00:34:19,Metallica parkla,Magistri,Mobile App,3.08,27.52,Pedelec,0.0,3 month free membership
1563484009671,2384,2019-07-19,00:06:49,2019-07-19,00:07:27,AHHAA,AHHAA,Mobile App,0.0,0.64,Pedelec,0.0,Free Membership (with bus card)
1563484010742,2344,2019-07-19,00:06:50,2019-07-19,00:21:21,Tamme kool,Aparaaditehas,Mobile App,1.23,14.52,Pedelec,0.0,3 month free membership
1563484017956,2357,2019-07-19,00:06:57,2019-07-19,00:09:59,Turusild,Kalda tee,RFID Card,1.02,3.03,Pedelec,0.0,1-month Free Membership
1563484056504,2213,2019-07-19,00:07:36,2019-07-19,00:20:22,Raudteejaam,Tarmeko,Mobile App,2.69,12.77,Pedelec,0.0,1 Year Membership
1563484067650,2185,2019-07-19,00:07:47,2019-07-19,00:21:29,Anne saun,Undetermined,Mobile App,1.99,13.71,Pedelec,0.0,1 DAY MEMBERSHIP
1563484071550,2384,2019-07-19,00:07:51,2019-07-19,00:41:51,AHHAA,Rahu,Mobile App,3.73,34.0,Pedelec,0.0,Free Membership (with bus card)
1563484088416,2058,2019-07-19,00:08:08,2019-07-19,00:26:36,Veeriku,Annelinna keskus,Mobile App,5.53,18.46,Pedelec,0.0,Free Membership (with bus card)
1563484090479,2333,2019-07-19,00:08:10,2019-07-19,00:12:42,Uueturu,Aparaaditehas,Mobile App,1.18,4.54,Pedelec,0.0,3 month free membership
1563484093959,2738,2019-07-19,00:08:13,2019-07-19,00:31:57,Vahi,Kvissentali,Mobile App,3.01,23.73,Bike,0.0,3 month free membership
1563484162014,2519,2019-07-19,00:09:22,2019-07-19,00:12:41,J. Hurda,Veeriku,Mobile App,1.21,3.33,Pedelec,0.0,3 month free membership
1563484181119,2365,2019-07-19,00:09:41,2019-07-19,00:31:33,ERM,Uueturu,RFID Card,3.25,21.88,Pedelec,0.0,3-Month Free Membership
1563484235484,2127,2019-07-19,00:10:35,2019-07-19,00:18:29,Aparaaditehas,Raatuse,RFID Card,2.26,7.91,Pedelec,0.0,1 Year Membership
1563484246066,2637,2019-07-19,00:10:46,2019-07-19,00:12:37,Roosi,Roosi,Mobile App,0.02,1.85,Bike,0.0,1 month free membership
1563484246284,2107,2019-07-19,00:10:46,2019-07-19,00:53:31,Sõpruse sild,Kaunase puiestee,Mobile App,6.46,42.76,Pedelec,0.0,3 month free membership
1563484253733,2232,2019-07-19,00:10:53,2019-07-19,00:43:35,Sõpruse sild,Sõpruse sild,Mobile App,4.4,32.7,Pedelec,0.0,Free Membership (with bus card)
1563484262455,2516,2019-07-19,00:11:02,2019-07-19,00:44:30,Raudteejaam,Kopli,RFID Card,4.49,33.47,Pedelec,0.0,Free Membership (with bus card)
1563484316770,2645,2019-07-19,00:11:56,2019-07-19,00:12:29,Pirogovi plats,Pirogovi plats,Mobile App,0.02,0.55,Bike,0.0,1 Year Membership
1563484325257,2102,2019-07-19,00:12:05,2019-07-19,00:34:05,Uueturu,Kannikese,RFID Card,5.05,22.0,Pedelec,0.0,Free Membership (with bus card)
1563484328036,2394,2019-07-19,00:12:08,2019-07-19,00:30:12,Raatuse,Pargi,RFID Card,1.96,18.07,Pedelec,0.0,Free Membership (with bus card)
1563484333843,2225,2019-07-19,00:12:13,2019-07-19,00:49:58,Raudteejaam,Postimaja,Mobile App,5.14,37.75,Pedelec,0.0,Free Membership (with bus card)
1563484340982,2112,2019-07-19,00:12:20,2019-07-19,00:29:16,Vabadussild,Tulbi,Mobile App,3.31,16.93,Pedelec,0.0,1 month free membership
1563484352215,2101,2019-07-19,00:12:32,2019-07-19,00:39:25,Aparaaditehas,Kopli,RFID Card,2.73,26.9,Pedelec,0.0,3-Month Free Membership
1563484365691,2458,2019-07-19,00:12:45,2019-07-19,00:46:03,Pirogovi plats,Pargi,Mobile App,1.78,33.3,Pedelec,0.0,1 Year Membership
1563484375765,2412,2019-07-19,00:12:55,2019-07-19,00:29:00,Vabadussild,Tulbi,Mobile App,3.35,16.08,Pedelec,0.0,1 DAY MEMBERSHIP
